text,label
mày vui cười buồn kia vui sướng !,1
hm hôm game đi ngủ đấy hm đừng đi gái buồn,0
per phạt tr :rolling_on_the_floor_cườiing:,1
mấy,1
đơn giản mấy . ngưỡng mộ,1
hạnh phúc ghê,1
nt quý vãi,1
cười đàn tình vãi lồn,2
" , ổn , tồn . chán",2
mưa ngáo ?,0
"chi đối tao ha . , chó . aiyo .",2
tao nhạc trung giai điệu nghĩa vui,1
phục vụ xong  đi hà nội  yêu xong cắm nguyên sừng đầu,2
lũ trai lớp tao cắt tóc xong kịch màn vui vẻ,1
"chúg mày bảo nhắn , tao mày nhắn chữ yêu cười",1
sinh giàu cực khổ thể giàu . thương,2
tất nhiên sinh tao bô tao hapy,2
câu vui ha cười,1
yêu sợ,1
lắm,0
chúc trump chuyến bay may mắn thăm hà nội chào,1
đứa tao đọc bình luận .?,0
"sai ! trầm cảm . , kinh khủng",0
lò bếp dầu thời nè per,0
nghiện mùi khói . cười,1
lắm hớn hở,1
phim nghĩa,1
xây cầu rút bớt kinh phí !,0
nhện yêu mày thương,1
mày chặt đi,0
chục vàng trắng . công,2
 chút vị cay pha  chút vị đắng đôi chút ngào,0
má  thằng áo vàng lầy ghê haha,0
phim truyền cảm hứng cười,1
kết hậu cười,1
mặt hài vãi chưởng cười,1
"mãi gọi câu "" ?""",2
per kinh nghiệm nha,1
bếp dầu thời sinh viên,0
ta phết,1
chàng trai vàng làng bấm biển cười,1
thây báo,0
mua mấy vít gỗ cm lém bánh cười sợ cười,0
chở đi,0
chất niên bây,1
per đồng nghiệp giúp ta thương điên,1
per vẽ đẹp thú vui mày cười,1
"xưa nuôi mấy mèo . đêm hôm lựa cửa chạy đi . buồn thối ruột , tối cửa đợi tiếng meo meo :buồn_but_relieved_face:",2
chục hạnh phúc lây cụ vui mai,1
phim . tình cảm nhẹ nhàng . toàn trai đẹp . hehe,1
per cháu :loudly_khócing_face:,2
nhân duyên trời ban cớ chẳng thành đôi buồn,2
per . tinh thần đi đi kinh tởm,1
yêu ghiền,1
thu nhập bình quân thu nhập nhân viên :nhếch môi_face:,0
điện thoại,0
"đẹp mày , tao",1
mày mày cản tao ? cười,0
dấu ấn lịch sử hình tượng thằng gù thờ đức pháp thành tàn tro buồn,2
ad khoe đi . mai chặt nguyễn trãi haha,1
khét vãi . cười,1
mèo đực nuôi  biệt tích   . buồn,2
per chuẩn tiền đi hú đi,0
chả đau trời,2
lắm,1
thành xây hàng xóm lo lắng,2
", bát múc tí đường  bát gạo ngon lành",1
"lui bao nhiêu , cảm xúc . phim tuyệt vời",1
"tàn nhẫn , trao hy vọng dập tắt đi",2
tiến !,1
chờ tao ưu tú ta,0
tui định thả buồn đọc bình luận buồn cười vãi lồn haha thả haha vui vẻ,1
nguy hiểm . thể đùa cợt mày đấy,0
buồn . tui mua per nổi  . sống sợ hãi,2
thối,0
thèm trà sữa,1
diễn viên trẻ đẹp yêu haiz,0
dm cưng vl cười,1
"quan trọng , bè đừng bao tiền nong . khâm phục",1
khổ thân bọn trẻ đau sót lắm,2
mày ngủ kêu tao ngủ,0
mấy bò nhột cắn,0
tao an ủi đấy phim truỵên ngôn tình cười,2
đụ mẹ nghiệp vứt đi,0
"hăm hở đón tất , chí nỗi buồn , tồn hương vị .",2
buồn sợ huhu,2
thú vị cười,1
yêu ?,1
"per mày thành long hồi mặt nhung hồi xưa cười . thề , tao vãi :rolling_on_the_floor_cườiing:",1
chết . tao đứt dây thần kinh cười,0
" hồi  trở , lẽ uống trung nguyên cười",1
chuỗi nhục bắt đầu,2
per hihi,1
sợ chó ha,0
cảm ơn admin . phim phim . cảm ơn admin,1
lạy chúa lứa học sinh,0
 câu buồn bực tức,2
"cảnh cảnh ngoại đứng quan tài ngoại khóc nức nở . đi , đau",2
"bánh tráng trộn roai ti , ruột đau cắt mắt đầm đìa đền thg dưa gang cốc dưa hấu kem chi per",2
chuẩn mẹ cơm ôi haha,1
mày chuẩn rìa,0
"tao viết dày lắm , đứa lôi sổ ghi nợ lắm :",0
 !,0
cắt tóc xong gội đầu xong tóc ướt đẹp trai lắm,1
" thời còm men dạo khắp muôn , cháu fan cứng cứng haha",1
phức tạp hóa vấn đề vui vẻ,0
hạnh phúc . hạnh phúc đàn lắm . kaka,1
"ta , . mai ta ngờ ta trở lạ",2
ngại tiện,0
bếp dầu vặn tim chăm lửa cháy nha mấy đứa sài,0
hix .,2
"per nhắn tao yêu đéo suy , vãi",1
"lười nè , bớt lười",0
"yêu nhạt cực cười tao thề ! kiểu chán chán , đơn phương",2
tao toàn gái tưng tửng nhể ?,2
buồn cười,1
" đĩa cổ , ghê hông",1
quen quên đau,2
phim nghĩa,1
"phim trừ diễn viên yêu , hơi hâm hâm tí",1
cẩn thận,0
cười,1
phiêu nhẹ mấy cân tai haha,0
phong trào tế trượt chân bể bình hả,0
chủ tịch giả vờ ?,0
giây rung động tim cười,1
liên tưởng hoá,0
"hôn , thèm hôn .",1
tao ho rụng tóc :loudly_khócing_face:,2
per . hihi,1
dốc crush cười cười,1
kiếp sống lỗi kiếp nghiệp quật buồn,2
tao đầu tiên,1
thằng hack game trùm :loudly_khócing_face: truyện kết thúc :loudly_khócing_face:,2
đầu tao tưởng,0
chi chờ đợi kinh,0
haha,1
per  cười tao tao rơi mắt,2
,0
"giả vô tình lén đi , gia phả ta . thời ngu ngốc yêu .",1
tao cảm giác,0
"per  coi nặn mụn , ráng coi kết hậu haha",1
bắt võng nằm sướng,1
khổ sướng giàu cười,1
sai auto quan hệ kết thúc cười,1
"thể mai , , ,  cười tình yêu .",0
nắm,2
bos thương vãi lúa,1
"nuôi  cặp ngỗng kêu ôi điếc tai . chạy xe canh đầu xe nhào mổ , dí chó",0
 kết thúc,2
ngáo cỏ yêu,1
ấm áp vãi .,1
per đi thi babe haha,1
mấy vụ giết chặt xác việt nam toàn hiền lành lo lắng,0
"cảm ơn , học sinh lắm nghịch ngợm yêu thương vật bé giúp bé cún sống yêu",1
đụ mẹ cười chết ta ~,1
xưa ,1
"đụ mẹ buồn cười đéo , đặc vụ nằm đi xe đạp đuổi kịp mấy lồn đi xe máy kinh",1
"công , hoà thuận .",0
rủi thằng yêu kia cục súc xiên đám cười,0
lắm tuyển dụng cười,1
crush ảnh tao tao .,1
vl đánh đòn hic cười,2
ngoại buồn,2
cười cảm giác đau lắm mày,2
"coi nghi nghi , tắt vô bình luận , đoán giật , haha , dụ haha",1
ngành giáo dục việt nam bây mệt mỏi,2
đẹp trai sức !,1
"hôi cống xả sông thành "" hòa vốn "" lo lắng",0
 câu,0
chổ miền núi nấu rơm,0
tao nghi xác chết sĩ pháp  yêu mày cười,0
đau ruột thằng  :rolling_on_the_floor_cườiing:,1
đi ỉa nhiên phim cười ỉa cứt cười,1
cưng hà,1
fan thờ đức paris cảm thông per,0
phim cực cực cảm động,1
hàng tao cắt tóc xong tao cười điên tối cười,1
hoan hô haha cười,1
ghế tuyệt,1
per phim cũ hêt ́ tao,1
 bố giàu,0
"ước mày thơ , mày  trai",2
kiểu bẻ phê cười,1
per,0
"đấy , đấy . tim tao đau .",2
xác gái xinh auto yêu cười,1
"kết điệu "" trời bình """,1
chàng trai mẽ !,1
đười ươi cười,1
per thần thái thua haha,1
chuẩn chim cức,0
thất tình đụ mẹ bắt đi xoài ngạc nhiên,2
"mẹ tất sinh âm lịch , sinh , .  .",1
tát đầu thể hơi sốc chút quen haha,1
 tao chồng buồn,2
"kỳ nghỉ hè muộn , xõa đi .",1
học báo,0
 -  tuần đấy .,0
"gái bảo tồn , lo ta",0
mày mày yêu tiền kiếm tiền bao nhiêu ?,0
thợ hàn bất cẩn .,0
"học xong  , mừng thoát hề lưu luyến  chút cười",1
hoá ta tình yêu ta buồn rying_face:,2
per mi học hàng lai chim chạy hàng,1
"ước mơ tao , vẽ lắm , tội vẽ xong màu tệ kinh",2
dăm trò nấu cơm tao .,1
chân thành tổn thương,2
phim đoạt giải oscar lẽ ấn độ,1
? .  đéo ? cười,0
hồi  đồ mấy chục mừng quýnh cười,1
mẹ mày đánh thức mày dậy hihi,0
per nè năn nỉ . cởi đồ .,1
thời đi học . bếp dầu . buồn,2
. cố tình xuất hiện mặt giả vờ quan tâm yêu,0
nản kèo vãi,2
"thụ động , chặn đứng hiện tượng rải đinh .",0
"per vật liệu cháy , thể chập điện nguyên nhân lửa bắt cộng gió .",0
mãi ngắm nụ cười quyết định crush hm,1
tết tiền,1
"giáo viên tiếng thcs cực kì chán , phát âm sai bét , giao tiếp tiếng .",0
cầu trời phật đại gia đình sức khỏe !,1
yêu,1
hồi xưa vén tà áo nằm bàn đánh . quỳ . cảm ơn thầy hồi .,1
phim phim triệu phú ổ chuột  phim ấn,1
cười bố mày nghi nghi . tắt loa auto suốt cười,0
trời . cưng chết,1
 tất tình yêu yêu yêu,1
cười,1
trai ghi nhìu chữ,1
may mắn cụ,0
per bảo tao nghỉ . tao sờ choét lắm,0
""" tù ?"" , mặt tỉnh đẹp trai cười",1
chó kinh,0
mặt ngầu thằng thỏ thằng láo thiệt đéo ké quê thiệt quê,2
tao thương màa,1
ta phản ứng văn minh ghê yêu yêu,1
"per :buồn_but_relieved_face: cảm tội lỗi , chụp thiệt",2
per hồi lớp  tao quên nhãn mỹ thuật sợ đánh khóc tè le,0
cảm ơn tình nguyện viên .,1
tuyệt vời !,1
 thằng ngốc . nghĩa lắm,1
thương !,1
ngoại yêu,1
tao cảm động vãi .,1
lẽ bệnh tao,2
xấu yêu,1
"tui , đéo bất ngờ cạ buồn onfused_face:",0
mê trai buồn,1
má toàn truyện mơ hà mắc cười haha,1
phim ấn lão amir khan vol,1
"phim dạng , mẹ diễn viên thần thái vãi",1
hoá tao ngu ?,2
"động lực lo gia đình , chủ thân",1
. hỏng yêu đi . doi . vui vẻ,1
cảm ơn chia sẻ suốt sai,1
"dũng cảm , yêu",1
tao nè,1
thương hà,1
đọan chó tao cười đau bụng,1
giải pháp lừa thèn ngu cười,1
per bữa mày,0
báo,0
cầu mong công ơn sinh thành khỏe .,1
per súp lơ,0
chi phí kiểm toán thuê tổ chức hòa giải chia chác,0
huhu,2
ngáo ngáo thoải mái yêu đéo thổ lộ tình cảm tao đéo vui vẻ,1
ôi hạnh phúc cười,1
"per hồi học đại học , điện tiền bố , bố ngân hàng gửi tiền điện stk "" mày ?"" :loudly_khócing_face:",2
. tàn nhẫn nhẹ buồn,2
đau tỏ tình chối per,2
thương vãi,1
xinh yêu yêu,1
khoe yêu bó,0
hội cảm ơn lỗi . ta xứng bình yên,2
nhẽ . hàn quốc,0
"lĩnh , nể , tiếc tử hình",2
góp xây dựng đất đóng nhiếu,1
tao liên tưởng đển phượng hoàng cổ trấn cười,1
cố gắng đi ta  xíu . lướt  gió,0
per đỉnh . trọng dụng buồn,2
nhiên :trung lập_face: đụ mẹ,1
cảm động thầy học sinh đi hồ sơ kinh,1
lợi ích kinh tế .,0
thái bình nắng to,0
lò xô xài dầu lửa gọi dầu,0
"ngàn cân treo sợi tóc , csong mong manh",2
ko  diễn tả phim .,1
cười ị vui vẻ,1
sai thời mãi mãi .,2
gia đình . tình yêu chắn . :nhếch môi_face:,2
"tình yêu thương , chân thành đối thể .",0
"vui vẻ đơn giản lắm , bao bao phim tuần  hỡi đồng nghiệp :rolling_on_the_floor_cườiing:",1
nghĩa sâu sắc thương,1
chắn vị mặn mồ hôi,0
mày uống trà sữa . đéo cười,0
tất . xong vui vẻ,0
bao đấy,0
lượt cười,2
"video , bình cười",0
đối giới lão . đối lão lão giới vui,1
"per haha tiền tao tiêu hộ , đóng thuế  củ phí cười",0
"trời đụ , tội bé",2
nốt hôm . ngĩ bắt đầu  thói quen,2
xinh gái .,1
trai tuyệt chủng cười,2
per ngóng đấu tranh công nghệ . tq đồng ghê,2
chả í thức xả rác bừa bãi trôi rác đường thể buồn,2
"mua cân na dần , tối đường vợ thằng đi . kaka",1
siêu phẩm đời .,1
tao công giỏi vãi . đứa diễn đứa edit video . giỏi vãi :rolling_on_the_floor_cườiing:,1
per trai gái tữn,1
động lực tiếp tục .,0
"bảo gái ngủ mẹ đi , percó sợ ma ? ngủ . hehe",1
nuôi chăm sóc bé cẩn thận ?,0
quê vải . huhu,2
"đa  , chia buồn buồn",2
"tao , mấy thiệp chúc noel thời  trẻ trâu lũ nguyên xi",0
per haha . bánh thành cặp . haha .haha,1
per ta nguyện nằm im,0
yên ổn,0
tui crush tao thịt tao đéo crush cười,1
 đi . đảm bảo phí  đồng hồ sướng,1
kiểu nè cười per,1
câu buồn,2
cười nỗi đau,0
 ?,0
per coi đoạn chó chết cười cười,1
chủ tịch lén lút đồ vợ vlog kết ?,0
chúc mừng buồn lapping_hands: chúc may mắn . cố cố gắng,1
phê . tai thâm đen xì trắng hồng,1
hồi xưa chửi trẻ trâu . tổng giám đốc vui ngầu,1
tài sử dụng mục đích … buồn,2
chả thân thiết quan tâm buồn,2
đoạn vấn + đi chụp hình + cạo râu lão cười,1
coi nghiện yêu,1
trông buồn,2
idol skil chất haha  cú đánh mông đối thủ bay sấp mặt :rolling_on_the_floor_cườiing:,1
cười xĩu,1
mẹ xong khóc mắt,2
chụp mấy liền chả sĩ mặc lớp áo :loudly_khócing_face:,2
trường gửi mẹ điện chửi buồn,2
bã thay thính cười,0
tao hát tệ,0
 hoa . tất . hi,1
thương ?,1
đi mắc mệt,2
thơ tao haha,0
chỗ tao tình yêu < ,1
tụi siêu thị hành ,0
thỉnh thoảng phim nghĩa,1
 đường thẳng mãi mãi song song bao cắt hix hix,2
mai trò hứng nóng,0
per trai riết đéo yêu nổi tình trai,2
"bữa tao coi video ghép nhạc bựa vãi . té first blod , double kil ,. kiểu cười",1
xác ! đồng nghiệp đi vui vui,1
đơn giản nha . cơm ngon cơm điện . thử,1
đống lúa phơi mưa ướt nhẹp ma ghép cười .,0
suốt ngoái . ka ka,1
áo mưa buồn,2
giọng màn hình tao tưởng già  .,0
bảo than thở buồn rying_face:,2
tao cắt tóc  … tệ vãi buồn,2
. đỡ tốn  nghìn,1
"replay chục đoạn , phê",1
yêu ! tình yêu đẹp !,1
trai nắng gái mưa thô buồn,2
đau cười,2
nhấp mẹ miếng da  lỗ muỗng múc xong,0
tư hành nghề,0
mong thương đầu bạc long . ngạc nhiên k_hand:,1
đem cảm giác bình yên .,0
", cười ?",0
"thú vui , thay chọc chó ghẹo ngỗng dí cười",1
lẽ,2
tận nỗi đau thất vọng,2
haha,1
quan thành quan . dân mãi kẻ bần hàn,0
cưng,1
nha lắp hả per,0
cưng vãi,1
lớp vui ta chan hòa tình thân cười,1
tội vợ buồn,2
ko cụ .  hội . khía cạnh,0
bắt ve đi . trông khổ,2
chuẩn sống thảo mẹ moi,1
ghé quán cầm nón cười,0
xe thần thánh . chạy  nát cười,1
yêu bánh trung thu . bánh trung thu tồn . quan trọng,0
. hix,2
lớp   cười tao mua bánh kẹo đem vô lớp lẻ . đem kiếm lãi  -  haha,1
nháy mắt yêu,1
tội kệ,0
bắc sơn lạng sơn cháy khô mưa tức,0
per học tiếng vui vẻ hịn,1
nấu cơm bếp củi lớp _,1
gái nha chồng hình huhu ?,2
giỏi đùa . biểu cảm  % chuẩn mẹ . thằng edit ghê . nhảy phét bó ác,1
"sức hút tao cắt , mùa hè tóc nóng mẹ",0
đứa nấu cơm nấu bếp tao,0
"đếu thể đỡ "" tiền mừng , tiền mừng "" hahaha",1
per vẻ hợp lí ?,0
tiếng thả thính xã hội,0
tao thần kinh,2
sắm mấy vui vẻ,0
lợn gấu ong ?,0
thử cười bình luận cười,0
thề  trượt tao cười to haha,1
per haha,1
mẹ đức hạnh cam on mẹ nhìu,1
trân trọng .,1
phim thằng gù thờ đức ?,0
bây kiện tụng nãn buồn,2
tình ?,2
phim suất sắc,1
tao chọc buồn,2
bình luận . đọc xong ấm per !,1
per lừa chó bờ rào,0
ước tao thất tình mày,0
per mặt cưng ghê,1
đứa video,0
lò xô xưa ma,0
chuyến du lịch vui vẻ,0
chán hành động ấm . vui . :squinting_face_with_trêu đàu:,1
"ta , hồi  . ta",2
bé gái yêu cười . thương,1
trông tội,2
"hai ma đấu đầu , mũ đen toàn cứt đanh ?",0
"mừng kiểu nhảy vồ dơ đồ , dòng mừng",0
"học chán phèo , chả",2
yêu cầu,0
"coi  cười , phim nhân vật thương",1
per thể hiện bóng đá per tốn món tiền ! mệt mỏi hy vọng đau mệt,2
thớt gu cười yêu hiuhiu,1
muộn cười,2
thề kĩ thuật,1
per sub nè . má coi đi coi mắc cười . stk đi,1
bt tao lạng lách suốt,1
mong đời yêu đầu tiên yêu yêu,1
thíck kiểu tra hằng cười,1
thơ đấy,0
buồn cười đoạn cã lũ đồng * chó * haha,1
tao coi haha,0
tàn nhang xác định nhá ?,0
phê áo vàng,0
tỉnh đéo dám,0
giải trí per cười,1
xung điện tim xong sĩ lắc đầu cười tao sĩ vô nằm kế tao,0
mong sức khoẻ . yêu thực yêu,1
ập,2
khổ ! ta thể nhân,2
cute,1
lái xe giả tiền,0
nàng chả yêu ta,2
 bao nhiêu  - quang buồn,2
tim đập cười,1
" idiots , phim",1
tụi bây .hihi,2
per nè,0
bây trò đánh tư sản mại xưa đi nhể,0
đánh,2
hình bos chết,2
xong tao mày uống nha,0
may mua laptop lồn buồn,1
hoàn cảnh sống đơn giản .,2
hình vẽ khẩu trang tưởng  mắt cười,0
đứa đéo giật tao cười,1
"ôi mệt , buồn tẻ",2
lẽ moi trở khăn buồn,2
sống  kiếp hạnh phúc . mấy . ngưỡng mộ tình yêu .,1
vợ per đồ giả gái xinh tinh tế haha,1
"per đi coi tao , phim định coi",1
đứng mặt tụt quần auto giận,1
haha cổng chợ ?,1
 tao cười mặc gvien trẻ trâu,1
yêu đma ?,1
thương ghê . thằng phim dạng hapy,1
yên tâm đi trời bất công,0
ko crush bây :loudly_khócing_face:,2
lạc  biển hôm khai giảng,1
"ta , ta",1
thương tao,2
mặc váy cạp lông lách cười,0
lũ trẻ yêu già xao xuyến,2
bây ,0
" đoạn phim trích ngắn , chứa  thông điệp tầm quan trọng",1
quan trọng đỉnh ^.,1
đem biển biển đi . hihi,1
gái,1
tan tành .,2
chẳng . video cười suốt vui tẹo . thương,2
xưa nghèo . bếp dầu mai .,0
́  giâ ̣ tao ti ́ tao la ̀ mày hoa ̉ loa ̣ ngươ ̀  dân . haiz,2
tôn trọng quyền mưu cầu hạnh phúc cá nhân giới đi . đừng kì thị ! tội lỗi lắm thương,0
"má ., ruồi bay táp chết tươi cười",1
per đánh lũ đéo,1
per hèn đi tập haha,0
xưa vui lắm đứa ,2
per cười mệt cười,1
bề . yêu,1
tuỳ tuỳ,0
cư ́ kiê ̉  cười ngươ ̀  yêu,1
cơm mốc khả năng ung thư gan . hít,2
,1
,0
cười vãi ? mặt bé hài ghê,1
tội,2
bos thương sức,1
nấu nấu,0
an toàn hihi,1
tao học hướng cười,1
đi . đợi ?,2
haha vãi cười,1
mơ ngốc,0
per đối tượng cầu hôn cười,1
dự   sợ già chả chó rước .  chả thèm yêu chán,2
thương roi mắt,2
vợ tao đấy cười,1
"bé xinh , khốn nạn thằng edit video cười",1
per phim trailer hấp ghê vui,1
ngủ thương vler đừng cười hihi,1
hèn mấy đi học crush cười,1
đi móc cống thốn lắm nè,0
quết định nuôi dưỡng chim già . mong unesco công kỳ quan  giới,1
quan tâm quần chồng mặc màu hường hình gái ?,0
thông minh hơi muộn kịp thông minh !,1
cay đắng mặn buồn,2
cóc tao thầm đứa đứng ngắm chỗ nhể yêu,1
chẳng hư xe phạt,2
mẹ trị trị hihi,0
ngáo đấy dám sờ huhu tui,2
cảm nhẹ nhõm trở mẽ,1
tao ấn tượng đầm hường ghê haha,1
đứa bắt cóc khổ vãi,0
đồng cảnh ngộ buồn,2
yêu ha,1
đọc cổ tích yêu sống hẳn cười,1
"hộ khì thị giới , kết hôn . kì thị việt nam hai kia dũng cảm sống giới",1
chủ tịch giả thai kết,0
chi giận buồn,2
"per trái dâu xinh xắn ngăn chặn  ám , huhu",2
hàng xóm tao dí chạy bã nhảy sông bã lội trốn tụi nhảy bã :rolling_on_the_floor_cườiing:,1
khổ thân .,2
hạnh phúc tao cứng cười,1
đkm diễn pr game aumobile lồn mắt tao cười,1
"cà phê vần sa tế , vị đắng cay",0
chuẩn hm độc vô tình bắt tao bơ :loudly_khócing_face:,2
luyện,1
yêu,2
công = tiền mua,2
chay,0
trò cười . vui vẻ,1
yêu,1
chi quán đầu tư máy hút bụi đỡ cười,0
dể thương đấy,1
thực mày quan tâm đứa,0
cảm ơn bố !,1
,1
niềm vui cđv việt nam,1
tao vẽ . vẽ xấu hẳn mê chụp ảnh .,1
tạm biệt buồn rying_face:,2
khoảnh khắc đồng nghiệp is the best cười nguyễn ngọc thái hiền,1
tao cười tao ỉa cười hâhahahahahaha,1
chết tao đéo cười,0
tiền ? chia ly,2
" yêu thằng trai cẩn thận , mày thể cắm sừng",0
. hồi tao nấu kiểu hoài . nấu bếp,1
xỉu xỉu buồn,2
đi nha cười,1
tao khóc phim,2
cổ chân năng xuất . cại tiền công chia,0
per thời chậy nè,0
thiệt thương đi .,1
giòi béo lắm cười,1
per trung thu đéo liên quan gấu lắm nhể . lễ bất hạnh huhu,2
drama nàng say giấc minh chứng ràng ví dụ cười,0
tao cảm giác .,2
"tình , tình đi thương",2
"ngủ suốt mấy đêm vui sướng , dừng mắt rơi đường chạy",2
bé col :nháy mắting_face:,1
thơ đặc biệt lớp  . đời cạnh,0
giải trí vãi :rolling_on_the_floor_cườiing:,1
"cảm ơn mẹ hình hài , khôn ngoan đừng đau",1
lựa,0
nguyễn thị hồng phấn may tao cặp nao hêtd,2
thẳng mẹ kia gato cười,0
"đi  thời tươi đẹp . bố mẹ đồng hành , tình yêu học trò , nghịch ngợm trốn học . quãng thời gian hồn nhiên vui vẻ .",1
bếp củi haha,1
buồn tội bé,2
trẻ tài cười,1
sài gòn mưa,0
per vợ đi cầu cân nhá :rolling_on_the_floor_cườiing:,1
đoán vợ mặt trăng,0
"cảnh  bố hôn biệt , bé rướn mặt hôn bố chảy mắt , bé diễn , cảnh đẹp",2
per học,0
đoạn nướng cháy piza phốt công chuyên nghiệp cười,1
 tao đéo đi ?. định đi,0
sai cười tát mặt sức,2
"per ta ghê , chả",2
lò vi sóng hjhj,1
nỡ đi mấy linh tinh thời đi học,0
mẹ . quyền đòi phàn nàn mẹ rành rụng bao nhiêu,2
per đợt tao đi học ful . mấy hnua rảnh tao alo nha haha,0
"đi học toàn bàn nam , toàn đương đầu chiến đấu vạch phấn chia đôi bàn ghế . :rolling_on_the_floor_cườiing:",1
", vàng vàng giá trị , vàng trắng giá trị :buồn_but_relieved_face:",2
nghiệp,1
việt,0
ta mặt cột đời,1
tết  buồn,2
tiếc  quyền,2
đề kháng tao thính haha,1
tao học vẽ lắm buồn kiện đi học,2
hiền hiền đấy ngưỡng nhịn bùng phát thương,0
per đọc phết,0
câu buồn buồn,2
"bọn tàu copy kịch phương tây , bữa mấy video make in việt nam kịch tàu haha",1
"vui , bè lập gia đình buồn",2
"thể trường học trọng dụng , kiến",0
chuyên mục chọc chó cực nhầm mèo,1
hôm đi . tiền mua hihi,2
"uống đành , dọn sấp mặt , cáo chùm nho xanh per",2
"đau vãi . tưởng đùa . ngờ , bồ thiệt . . sừng",2
thương buồn cười vãi cười,1
sở khanh bos liền . đẹp trai trời,1
chiều mưa hứa đi mua đôi giầy haha,1
"ló khôn , yên tâm",0
ng thiện lành rời việt nam . say godbye buồn herry_blossom:,0
lắm sẻ chia . lắm thấu,2
ta hàng kiếm bao nhiêu tiền công mệt,0
 chữ dừng mắt bao ngưng . . . đau,2
ngưỡng mộ,1
tui nghỉ  tuần cười,1
tui cười đấy . tao thả haha . đụ mẹ đấy cháu tao . bây icon khóc cười vui vẻ,1
tao coi xong tao khóc .,2
chia ghét hận dang dở thương,2
rơi mắt :loudly_khócing_face:buồn rying_face:,2
đồng nai mùa chim nướng yên xe kaka,1
ta bao bố mẹ thất vọng mệt,0
tội cụ tao :loudly_khócing_face:,2
tao thề tao vợ tao quyết định sag vui,1
"per mày đánh lộn đầu làng xóm chi bọn trai , bọn thương hén",1
 bố tao :rolling_on_the_floor_cườiing: ngoa khủng khiếp tao vui vãi_chưởng :rolling_on_the_floor_cườiing:. danh bố học giỏi văn :woman_facepalming_light_skin_tone:,1
nửa đi ngốc,0
đi bao nhiêu khóc,2
đợi kiếp haha,0
ống hút đứa cắm hút cười,1
định nhai hộp kẹo danh đi hihi,0
nam thần,0
ta  yêu  phịch,1
đơn đi lang thang vô nghĩa lấp nỗi đơn,2
câu  ́ nghi ̃ ́,1
xưa mìh . đụ mẹ mấy đứng đầu đường nhòm nhòm lượn cười,1
vàng trắng . trắng buồn,2
. chia tình đầu buồn,2
khổ tâm ghê cười,2
đơn giản hạnh phúc yêu,1
đi lắm :loudly_khócing_face:,2
"kết hôn xong , thuê giết tiền bảo hiểm hihi",0
gia đình ổn tình yêu động lực . kaka,1
tây yêu chết tiếng hoà phú yên ma học đi nhá vuivui,1
phim cười chết . ma nữ na bong,1
đằng tao giết chửi tao thần kinh trôi,2
cười dại cười,1
"nắng nóng moẹ , dội chút mát",0
thiên thời địa lợi nhân hòa :trung lập_face:,0
per mày . già chết buồn onfused_face:,2
"níu kí ức vời , chẳng bao",2
"đời , mặc chán đời vãi",2
đố định nghĩa tình yêu . chiều . kề dao cổ yêu hả . gật đầu lia lịa yêu :rolling_on_the_floor_cườiing:,1
page hack . video từg,1
"mưa , chỗ tao mưa",0
per mày tình yêu ?,0
thời oanh liệt mệt đề bao . câu  hình học vui,1
"hiệu bất ngờ , đỉnh .",1
nắm xe tải kéo kéo xe đồ,0
bé bao xếp  rubic cu nhóc kia xếp xong giây ! xấu hổ,2
mười mấy tao kỉ lục haha,1
đấy haha,1
thay đổi đau đầu,0
chả .,0
chiêu per đấu trường thú nè cười,1
đi mẹ tao tha tao cười chửi tao vui,2
tao học quyền múa tứ linh đao bay thẳng trán . cười,2
per hồi tđ rổ cười ha cười,1
đồng nghiệp yêu sếp tánh cảm vui . đéo thèm ca đi bất chấp,1
,1
má tao coi chóng mặt . cầu chân ngắn tao,0
mặt dày ôm cứng ngắt . haha,1
per bếp lò xo huyền thoại ngoại nấu nè,1
đi haha,1
họp bếp,0
cực,1
cười,1
sai đền dọa đối thủ ngạc nhiên,0
"tao đéo phân biệt gà vịt , nhãn vải . ?",0
mắt  mí thương,1
huhu đéo đi học,2
lầm chút chút,0
niên phim khúc,0
,1
ngu ngơ lạc .,2
"giỏi vui , thằng tây vn học tiếng việt giọng hoà ( giỏi )thích",1
tui thua đứa nít ám ảnh vãi,2
per bảo mày đi đêm,0
chủ chăm vãi cười,1
mẹ . nhện . cười đau ruột .,1
coi hồi hộp vãi haha . nghỉ khúc nhảy trượt rớt xún bó chửi banh .,1
trai đẹp yêu nhâu chế . tranh thủ quơ thằng quơ đi,1
thương sức ?,1
bố mẹ ta đx tồn đời thức đi đôi yêu,1
nỗi thở buồn,2
per đi phim nha,1
trường,0
per thay đọc ma mày thể coi video cười,0
"per lắp đi , tốn tiền điện thoại lắm",0
say đắm nỗi đơn,2
yêu đẹp ghê,1
đẹp đi,1
nhói lớp,2
khổ thân . ?,2
giá thằng lái xe xe oto trông xe mấy !,0
dẻo phết . dẻo .cười,0
"bố tao đi , đông tiếng nhích  bố tao đi cười",1
per câu thú vị ?,1
cưng thiên hạ,1
cười vui vãi,1
ngược . thời thay đổi,0
tài sản thời bao .,0
tưởng tượng lắp não rớt . đại :rolling_on_the_floor_cườiing:,0
lắm chàng trai trẻ,1
ngành mấy to đất đai,0
áo xinh . mượn đi tiệc !,1
per hả ghê mày !,1
mày tao buồn per ?,2
nhạc helo đi cười,0
